Code postal,Nom de la structure,Adresse postale,Numéro de téléphone,Site Web,Nom Prénom du référent,Mail contact,Activités proposées,Conditions d'accès,Accompagnement,Public,Équipement,APTIC,Date de mise à jour
44000,Mediagraph,1 Rue d'Auvours 44000 Nantes,240121912,,,,,,,,,,
44000,Bureau de la Poste Bourgneuf-en-Retz,16 Rue de la Tailée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,240214485,https://www.maisondeservicesaupublic.fr/,,,,Gratuit,,,,,
44000,Espace Multimedia Accoord Malakoff,Rue d'Angleterre 44000 Nantes,,,,,,,,,,,
44000,Mediagraph,1 Rue d'Auvours 44000 Nantes,,,,,,,,,,,
44000,Maison de l'emploi Malakoff,8 Rue d'Angleterre 44000 Nantes,,,,,,,,,,,
44000,CRIJ-CIJ,37 Rue Saint-Léonard 44000 Nantes,+33 2 51 72 94 50,http://www.infos-jeunes.fr/,,,,,,,,,
44000,,1 BIS Place Saint-Similien 44000 Nantes,,https://www.nantes.fr/ccas,,,Conseils sur les droits sociaux,,,,,,
44100,Dclic pÔle informatique des Dervallières,5 Rue Auguste Renoir 44100 Nantes,,,,,,,,,,,
44100,Maison de l'emploi Dervallières,8 Rue Henri Matisse 44100 Nantes,,,,,,,,,,,
44100,Maison de l'emploi Bellevue,46 Boulevard Jean Moulin 44100 Nantes,,,,,,,,,,,
44100,,46 Boulevard Jean Moulin 44100 Nantes,,,,,,gratuit,,,,,
44100,Médiathèque Lisa Bresner,23 Boulevard Émile Romanet 44100 Nantes,,,,,accompagnement numérique les jeudis après-midi.,,,,,,
44100,,5 Rue du Gers 44100 Nantes,,,,,,,,,,,
44100,Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,,,,, initiation possible sur ordinateur,,,, smartphone et tablette,,
44100,,Rue de Saint-Brevin 44100 Nantes,,,,,,,,,,,
44100,La Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,,,,,,,,,,,
44110,Maison de l'Emploi du Pays de Châteaubriant,16 Rue Gabriel de la Tour 44110 Châteaubriant,02 28 04 06 33,https://www.cc-chateaubriant-derval.fr,Directrice Christine GALISSON,mailto:cc-chateaubriant-derval.fr,La Communauté de Communes propose différents types de formation principalement des formations au BAFA (Brevet d’aptitude aux fonctions d’animateur); au PSC1 (Prévention et Secours Civiques de niveau 1) et aussi des formations au BAFD (Brevet d’aptitude au,Sans emplois / résidents CC Châteaubriant ,,Sans emploi ,un espace numérique qui regroupe toutes les offres d'emploi locales éditées par Pôle Emploi et ses partenaires; mais permettra également à tous; chefs d’entreprises; commerçants; artisans; particuliers employeurs; de publier leurs offres facilement et dir,,
44110,Pôle emploi Châteaubriant,10 Rue d'Ancenis 44110 Châteaubriant,39 46,https://www.pole-emploi.fr/annuaire/chateaubriant-44036,,,,Gratuit,,,,,
44110,Bibliotheque de Villepot,Rue de la Chapelle 44110 Villepot,240281039,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,,,,,,,,,
44110,Bibliotheque LOUISFERT,4 Rue de la République 44110 Louisfert,240813183,https://castelbriantais.e-sezhame.fr/node/content/nid/14403,,,,,,,,,
44110,Bibliothèque  de Soudan,Rue Julien Masson 44110 Soudan,240077451,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,,,,80€ hors commune,,,,,
44110,Bibliothèque Noyal-sur-Brutz,5 Rue des Troènes 44110 Noyal-sur-Brutz,02 40 28 09 58,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,,,,,,,1 poste informatique à disposition,,
44110,Bliblioth?Îque Erbray,4 Rue du Rocher 44110 Erbray,02 40 28 35 32,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,,,Lieu de lecture et d'activités.,gratuit,,,,,
44110,Médiathèque Chateaubriant,6 Place Saint-Nicolas 44110 Châteaubriant,240810333,http://www.mairie-chateaubriant.fr/mediatheque-intercommunale/,,,,6€ pour les résidents hors communauté de communes Carte pass plus :- Pour les résidents de communauté de communes (tarif réduit 12€ / tarif normal 18€)-Pour les résidents hors communautés de communes (tarif réduit 18€ / tarif normal 24€),,,,,
44117,Bibliothèque de saint-André-des-Eaux,Rue des Guifettes 44117 Saint-André-des-Eaux,251106264,http://bibliotheque.saint-andre-des-eaux.fr,A côté du terrain de football,,,gratuit,,,,,
44119,CCAS Grandchamp des fontaines,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,240771326,http://www.grandchampdesfontaines.fr/mairie/services-municipaux-1999/ccas-301.html?cHash=f7a91b93291d711ac66f686a531a2273,,,,Gratuit,,,,,
44119,,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,,,,,,,,,,,
44119,Maison de l'emploi Grandchamp-des-fontaines,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,251121094,http://www.cceg.fr/annuaire-des-structures-192/maison-de-l-emploi-et-de-la-formation-grandchamp-des-fontaines-85.html?cHash=f1888d85829b12fa37a18e7e73806223,,,Lieu de formation lié l'emploi.,gratuit,,,,,
44119,Médiathèque de Grandchamp des fontaines,Rue de Curette 44119 Grandchamps-des-Fontaines,249623970,http://www.grandchampdesfontaines.fr/culture-sports-loisirs/culture/mediatheque-victor-hugo-2057.html,,,Espace documentaire et point d'accès numérique.,,,,,,
44120,Service Jeunesse,15 Rue Aristide Briand 44120 Vertou,,,,,,,,,,,
44130,"Bibliothèque municipale ""Le Pot a Mots""",Place Notre-Dame du Châtellier 44310 Saint-Lumine-de-Coutais,240029456,,,,,,,,,,
44130,Espace Numérique Centre socioculturel Tempo,7 Rue du 11 Novembre 44130 Blain,,,,,,,,,,,
44130,Médiathèque de Fay de bretagne,2 Rue Georges Sicard 44130 Fay-de-Bretagne,240873365,http://www.faydebretagne.fr/jsp/site/Portal.jsp?page_id=120,Espace de lecture et point d'acc?Îs num??rique.,,,,,,,,
44130,,7 Rue du 11 Novembre 44130 Blain,,http://csctempo.fr/?lang=fr,,,Lieu de rencontre et de partage autour de jeu et de la convivialité,,,,,,
44130,Maison de l'emploi Blain,7 Rue Victor Schoelcher 44130 Blain,240799901,https://www.pays-de-blain.com/economie-emploi/emploi-et-formation/,,,Lieu d'information et de formation dans la recherche d'emploi,gratuit,,,,,
44140,POINT RELAIS EMPLOI,Rue de la Mairie 44140 Montbert,,,,,,,,,,,
44150,Point Info Mobile,19 Rue Général Leclerc 44510 Le Pouliguen,240423105,http://www.tourisme-lepouliguen.fr/wifi-au-pouliguen.html,,,,Gratuit,,,,,
