Code postal,Nom de la structure,Adresse postale,Numéro de téléphone,Site Web,Nom Prénom du référent,Mail contact,Activités proposées,Conditions d'accès,Accompagnement,Public,Équipement,APTIC,Date de mise à jour,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
44000,Mediagraph,1 Rue d'Auvours 44000 Nantes,240121912,,,,,,,,,,,47.221374,-1.563522,1 Rue d'Auvours 44000 Nantes,0.96,housenumber,44109_0480_00001,1,Rue d'Auvours,,44000,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44000,Bureau de la Poste Bourgneuf-en-Retz,16 Rue de la Tailée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,240214485,https://www.maisondeservicesaupublic.fr/,,,,Gratuit,,,,,,47.042412,-1.954083,16 Rue de la Taillée 44580 Villeneuve-en-Retz,0.67,housenumber,44021_0480_00016,16,Rue de la Taillée,,44580,Villeneuve-en-Retz,44; Loire-Atlantique; Pays de la Loire,44021,44021,Bourgneuf-en-Retz,
44000,Espace Multimedia Accoord Malakoff,Rue d'Angleterre 44000 Nantes,,,,,,,,,,,,47.21476,-1.526578,Rue d'Angleterre 44000 Nantes,0.96,street,44109_0294,,Rue d'Angleterre,,44000,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44000,Mediagraph,1 Rue d'Auvours 44000 Nantes,,,,,,,,,,,,47.221374,-1.563522,1 Rue d'Auvours 44000 Nantes,0.96,housenumber,44109_0480_00001,1,Rue d'Auvours,,44000,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44000,Maison de l'emploi Malakoff,8 Rue d'Angleterre 44000 Nantes,,,,,,,,,,,,47.214995,-1.526771,8 Rue d'Angleterre 44000 Nantes,0.96,housenumber,44109_0294_00008,8,Rue d'Angleterre,,44000,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44000,CRIJ-CIJ,37 Rue Saint-Léonard 44000 Nantes,+33 2 51 72 94 50,http://www.infos-jeunes.fr/,,,,,,,,,,47.218567,-1.555306,37 Rue Saint Léonard 44000 Nantes,0.96,housenumber,44109_7672_00037,37,Rue Saint Léonard,,44000,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44000,,1 BIS Place Saint-Similien 44000 Nantes,,https://www.nantes.fr/ccas,,,Conseils sur les droits sociaux,,,,,,,47.220022,-1.558402,1 bis Place Saint Similien 44000 Nantes,0.96,housenumber,44109_7748_00001_bis,1 bis,Place Saint Similien,,44000,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,Dclic pÔle informatique des Dervallières,5 Rue Auguste Renoir 44100 Nantes,,,,,,,,,,,,47.223253,-1.595152,5 Rue Auguste Renoir 44100 Nantes,0.96,housenumber,44109_0452_00005,5,Rue Auguste Renoir,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,Maison de l'emploi Dervallières,8 Rue Henri Matisse 44100 Nantes,,,,,,,,,,,,47.223083,-1.596759,8 Rue Henri Matisse 44100 Nantes,0.96,housenumber,44109_4151_00008,8,Rue Henri Matisse,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,Maison de l'emploi Bellevue,46 Boulevard Jean Moulin 44100 Nantes,,,,,,,,,,,,47.205877,-1.601532,46 Boulevard Jean Moulin 44100 Nantes,0.96,housenumber,44109_4503_00046,46,Boulevard Jean Moulin,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,,46 Boulevard Jean Moulin 44100 Nantes,,,,,,gratuit,,,,,,47.205877,-1.601532,46 Boulevard Jean Moulin 44100 Nantes,0.96,housenumber,44109_4503_00046,46,Boulevard Jean Moulin,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,Médiathèque Lisa Bresner,23 Boulevard Émile Romanet 44100 Nantes,,,,,accompagnement numérique les jeudis après-midi.,,,,,,,47.209868,-1.602584,23 Boulevard Emile Romanet 44100 Nantes,0.96,housenumber,44109_2794_00023,23,Boulevard Emile Romanet,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,,5 Rue du Gers 44100 Nantes,,,,,,,,,,,,47.212446,-1.586855,5 Rue du Prinquiau 44100 Nantes,0.58,housenumber,44109_7006_00005,5,Rue du Prinquiau,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,,,,,initiation possible sur ordinateur,,,,smartphone et tablette,,,47.204346,-1.604948,1 Place des Lauriers 44100 Nantes,0.96,housenumber,44109_4825_00001,1,Place des Lauriers,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,,Rue de Saint-Brevin 44100 Nantes,,,,,,,,,,,,47.2067,-1.596558,Rue de Saint Brévin 44100 Nantes,0.96,street,44109_7542,,Rue de Saint Brévin,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
44100,La Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,,,,,,,,,,,,47.204346,-1.604948,1 Place des Lauriers 44100 Nantes,0.96,housenumber,44109_4825_00001,1,Place des Lauriers,,44100,Nantes,44; Loire-Atlantique; Pays de la Loire,44109,,,
