INDEX,INDEX_SLUG,INDEX_SLUG_CLEAN,SOURCE,SOURCE_temp,SOURCE_codes,SOURCE_codes_temp,NOM DU LIEU,ADRESSE
pingcarto1_,la-chapelle-coworking,la-chapelle-coworking,CGET,France Tiers-Lieux,CGET,FTL,La Chapelle Coworking,134 Rue Paul Bellamy 44000 Nantes
pingcarto2_,dot-parade,dot-parade,CGET,France Tiers-Lieux,CGET,FTL,Dot Parade,3 Rue Mercœur 44000 Nantes
pingcarto3_,espace-esperluette,espace-esperluette,CGET,France Tiers-Lieux,CGET,FTL,Espace Esperluette,2 Place Dumoustier 44000 Nantes
pingcarto4_,la-prairie,la-prairie,CGET,France Tiers-Lieux,CGET,FTL,La Prairie,22 Rue des Olivettes 44000 Nantes
pingcarto5_,la-corderie,la-corderie,CGET,France Tiers-Lieux,CGET,FTL,La Corderie,2 bis Rue Urvoy de Saint-Bedan 44000 Nantes
pingcarto6_,dojo-nantes,dojo-nantes,CGET,France Tiers-Lieux,CGET,FTL,DOJO Nantes,26 Boulevard Stalingrad 44000 Nantes
pingcarto7_,le-144,le-144,CGET,France Tiers-Lieux,CGET,FTL,Le 144,144 Rue Paul Bellamy 44000 Nantes
pingcarto8_,la-petite-serre,la-petite-serre,CGET,France Tiers-Lieux,CGET,FTL,La petite Serre,23 Rue Gambetta 44000 Nantes
pingcarto9_,vacouva,vacouva,CGET,France Tiers-Lieux,CGET,FTL,Vacouva,43 Quai de Malakoff 44000 Nantes
pingcarto10_,work-in-salorges,work-in-salorges,CGET,France Tiers-Lieux,CGET,FTL,Work'in salorges,16 Quai Ernest Renaud 44100 Nantes
pingcarto11_,labo-arts-&-techs-/-stereolux,labo-arts-&-techs-/-stereolux,CGET,France Tiers-Lieux,CGET,FTL,Labo Arts & Techs / Stereolux,4 boulevard Léon Bureau 44000 Nantes
pingcarto12_,ade-nantes,ade-nantes,CGET,France Tiers-Lieux,CGET,FTL,ADE Nantes,9 Rue du Petit Châtelier 44300 Nantes
pingcarto13_,la-cantine-numérique,la-cantine-numerique,PiNG – CGET – CAP Tiers-Lieux,PiNG – France Tiers-Lieux – CAP Tiers-Lieux,PiNG-CGET-CAPTL,PiNG-FTL-CAPTL,La Cantine numérique,11 Rue la noue bras de fer 44200 Nantes
