INDEX,SOURCE,NOM DU LIEU,ADRESSE_LIEU
1,CGET,La Chapelle Coworking,134 Rue Paul Bellamy 44000 Nantes
2,CGET,Dot Parade,3 Rue Mercœur 44000 Nantes
3,CGET,Espace Esperluette,2 Place Dumoustier 44000 Nantes
4,CGET,Startup Palace,18 Rue Scribe 44000 Nantes
5,CGET,La Prairie,22 Rue des Olivettes 44000 Nantes
6,CGET,La Corderie,2 bis Rue Urvoy de Saint-Bedan 44000 Nantes
7,CGET,DOJO Nantes,26 Boulevard Stalingrad 44000 Nantes
8,CGET,Le 144,144 Rue Paul Bellamy 44000 Nantes
9,CGET,La petite Serre,23 Rue Gambetta 44000 Nantes
10,CGET,Vacouva,43 Quai de Malakoff 44000 Nantes
11,CGET,Work'in salorges,16 Quai Ernest Renaud 44100 Nantes
12,CGET,Labo Arts & Techs / Stereolux,4 boulevard Léon Bureau 44000 Nantes
13,CGET,ADE Nantes,9 Rue du Petit Châtelier 44300 Nantes
14,PiNG – CGET,La Cantine numérique,11 Rue la noue bras de fer 44200 Nantes
15,CGET,La Cordée Nantes,32bis rue Fouré 44000 Nantes  
16,CGET,L’Atelier 9,9 Rue des Olivettes 44000 Nantes
17,CRESS,La Conciergerie Coworking,20 Mail des Chantiers 44000 Nantes
18,CRESS,La Conciergerie du Parc,24 Mail des Chantiers 44000 Nantes
19,CRESS,La Conciergerie du Front Pop',1 Mail du Front Populaire 44000 Nantes
20,CRESS – CGET,Le Solilab,8 rue Saint Domingue 44200 NANTES
21,CRESS,ORA,7 rue Magdeleine 44200 Nantes
22,PiNG – CRESS – CGET,Plateforme C,Quai des Antilles hangar 30 44200 Nantes
23,PiNG – CRESS – CGET,Atelier Partagé du Breil,38 rue du Breil 44100 Nantes
24,CRESS,Le Grand Bain,23 Allée Baco 44000 Nantes
25,CRESS,La Galerie zéro déchet,5 Rue Fénelon 44000 Nantes
26,PiNG – CRESS,Mediagraph,1 rue d’Auvours 44000 Nantes
27,CRESS,Atelier Viking,5 Rue Perelle  44000 NANTES
28,CRESS,La Station,15 quai Ernest Renaud 44100 Nantes
29,CRESS,Wattignies Social Club,13 Boulevard des Martyrs Nantais de la Résistance 44000 Nantes
30,CRESS,Forum Titi,7 Rue Louis Blériot 44700 Orvault
31,PiNG,Centre Socio-culturel de l’Allée Verte,1 rue de l’allée verte 44230 Saint-Sébastien-sur-Loire
32,CGET,Workhub,1 avenue des Lions 44800 Saint-Herblain
33,CGET – CRESS,La Ruche Saint-Nazaire,25 Rue de l'étoile du matin 44600 Saint-Nazaire
34,CGET,Office Coffee,21 Avenue du Commandant l'Herminier 44600 Saint-Nazaire
35,CRESS,Les abeilles 44,3 rue de l'Écluse Saint-Nazaire 44600 Saint-Nazaire
36,CGET,Le Périscop,18 Boulevard Paul Perrin 44600 Saint-Nazaire
37,PiNG,Ecole d'Arts - Ateliers numériques,24 Avenue Léon Blum 44600 Saint-Nazaire
38,CRESS – PiNG,Bluelab,66 Centre République 44600 Saint-Nazaire
39,PiNG,Centre Socioculturel Tempo,7 rue du 11 novembre  44130 Blain
40,CRESS,Tiers-Lieu de Bouvron,21 bis rue Louis Guihot 44130 Bouvron
41,CRESS,Le Transistore,La Chapelle sur Erdre
42,CRESS,Le Millelieu,1 rue Félix Platel 44310 Saint Philbert de Grand Lieu
43,CGET,Hackerspace LaFaCh (Amicale Laïque Castelbriantaise),13 Place Ernest Breant 44110 Châteaubriant
44,CGET,Cow-B,7 Rue Jean-Baptiste Olivier  44130 Bouvron
45,CGET,Le 3ème Lieu,8 place de l’Église 44170 Abbaretz
46,CGET,L’Incubacteur Estuaire et Sillon,La Croix Gaudin 44360 Saint-Etienne de Montluc
47,CGET – CRESS,Coworkstation,1 route de Saint Fiacre 44190 Gorges
