Code postal,departement,dep_nom,Nom lieu,Adresse postale,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
44 000,44,Loire-Atlantique,Bureau de la Poste Bourgneuf-en-Retz,16 Rue de la Tailée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,47.042412,-1.954083,16 Rue de la Taillée 44580 Villeneuve-en-Retz,0.67,housenumber,44021_0480_00016,16,Rue de la Taillée,,44580,Villeneuve-en-Retz,"44, Loire-Atlantique, Pays de la Loire",44021,44021,Bourgneuf-en-Retz,
44 000,44,Loire-Atlantique,CCAS,1 BIS Place Saint-Similien 44000 Nantes,47.220022,-1.558402,1 bis Place Saint Similien 44000 Nantes,0.96,housenumber,44109_7748_00001_bis,1 bis,Place Saint Similien,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 000,44,Loire-Atlantique,CRIJ-CIJ,37 Rue Saint-Léonard 44000 Nantes,47.218567,-1.555306,37 Rue Saint Léonard 44000 Nantes,0.96,housenumber,44109_7672_00037,37,Rue Saint Léonard,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 000,44,Loire-Atlantique,Espace Multimedia Accoord Malakoff,Rue d'Angleterre 44000 Nantes,47.21476,-1.526578,Rue d'Angleterre 44000 Nantes,0.96,street,44109_0294,,Rue d'Angleterre,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 000,44,Loire-Atlantique,Maison de l'emploi Malakoff,8 Rue d'Angleterre 44000 Nantes,47.214995,-1.526771,8 Rue d'Angleterre 44000 Nantes,0.96,housenumber,44109_0294_00008,8,Rue d'Angleterre,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 000,44,Loire-Atlantique,Mediagraph,1 Rue d'Auvours 44000 Nantes,47.221374,-1.563522,1 Rue d'Auvours 44000 Nantes,0.96,housenumber,44109_0480_00001,1,Rue d'Auvours,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Centre socioculturel Bourderies,2 rue de Saint-Brevin 44100 Nantes,47.207064,-1.596413,2 Rue de Saint Brévin 44100 Nantes,0.96,housenumber,44109_7542_00002,2,Rue de Saint Brévin,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Dclic,19 Rue Auguste Renoir 44100 Nantes,47.223648,-1.595732,19 Rue Auguste Renoir 44100 Nantes,0.96,housenumber,44109_0452_00019,19,Rue Auguste Renoir,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,La Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,47.204346,-1.604948,1 Place des Lauriers 44100 Nantes,0.96,housenumber,44109_4825_00001,1,Place des Lauriers,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Maison de l'emploi Bellevue,46 Boulevard Jean Moulin 44100 Nantes,47.205877,-1.601532,46 Boulevard Jean Moulin 44100 Nantes,0.96,housenumber,44109_4503_00046,46,Boulevard Jean Moulin,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Maison de l'emploi Dervallières,8 Rue Henri Matisse 44100 Nantes,47.223083,-1.596759,8 Rue Henri Matisse 44100 Nantes,0.96,housenumber,44109_4151_00008,8,Rue Henri Matisse,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,47.204346,-1.604948,1 Place des Lauriers 44100 Nantes,0.96,housenumber,44109_4825_00001,1,Place des Lauriers,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Médiathèque Lisa Bresner,23 Boulevard Émile Romanet 44100 Nantes,47.209868,-1.602584,23 Boulevard Emile Romanet 44100 Nantes,0.96,housenumber,44109_2794_00023,23,Boulevard Emile Romanet,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire Atlantique,Ping,38 rue du Breil,47.229028,-1.584999,38 Rue du Breil 44100 Nantes,0.96,housenumber,44109_1213_00038,38,Rue du Breil,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 100,44,Loire-Atlantique,Regart's association,5 Rue du Gers 44100 Nantes,47.215271,-1.592148,5 Rue Monge 44100 Nantes,0.6,housenumber,44109_5719_00005,5,Rue Monge,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
