,departement,dep_nom,Nom lieu,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo
44000,44,Loire-Atlantique,Bureau de la Poste Bourgneuf-en-Retz,16 Rue de la Tailée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,02 40 21 44 85,https://www.maisondeservicesaupublic.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,
44000,44,Loire-Atlantique,CCAS,1 BIS Place Saint-Similien 44000 Nantes,02 40 99 27 00,https://www.nantes.fr/ccas,NR,NR,Conseils sur les droits sociaux,Co,,,NR,NR,NR,NR,NR,13/01/2021,
44000,44,Loire-Atlantique,CRIJ-CIJ,37 Rue Saint-Léonard 44000 Nantes,02 51 72 94 50,http://www.infos-jeunes.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,
44000,44,Loire-Atlantique,Espace Multimedia Accoord Malakoff,1 Rue d'Angleterre 44000 Nantes,02 40 47 70 53,https://www.accoord.fr//nc_centre/maison-des-haubans-csc-malakoff/,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,13/01/2021,
44000,44,Loire-Atlantique,Maison de l'emploi Malakoff,5 rue d’Autriche 44000 Nantes,02 28 44 33 80,https://www.me-metropole-nantaise.org/ou-nous-trouver/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,13/01/2021,
44000,44,Loire-Atlantique,Mediagraph,1 Rue d'Auvours 44000 Nantes,02 40 12 19 12,www.assomediagraph.fr ,Cécile THOMAS,cecilethomas@assomediagraph.fr ,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internet,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn,Formations collectivesFormations individuelles Initiations Autonomie,FoCo-FoIn-In-Au,GratuitPayantAPTIC,G-P-A,Tous publics Adultes / Familles Seniors,Tp-Af-S,Oui,23/02/2020,https://www.assomediagraph.fr/wp-content/uploads/2020/03/logoA4-sans-transparent-1024x357.png 
44100,44,Loire-Atlantique,Centre socioculturel Bourderies,2 rue de Saint-Brevin 44100 Nantes,02 40 46 41 46,https://www.accoord.fr/nc_centre/csc-bourderies/,NR,NR,Espace multimédia,Em,NR,NR,NR,NR,NR,NR,NR,,
44100,44,Loire-Atlantique,Dclic,19 Rue Auguste Renoir  44100 Nantes,07 86 51 22 14,https://www.dclic.org/,Thavie SOEUNG,contact@dclicpoleinfo.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Payant à coût solidaire,G ,Tout public,Tp,Non,16/10/2020,https://files.slack.com/files-pri/T01C2232M4K-F01CNE1U1MJ/logo_dclic.png
44100,44,Loire-Atlantique,La Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,NR,http://mdc44800.canalblog.com/,NR,NR,Démarches administratives en ligneConseilsPrise en main du matériel,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,
44100,44,Loire-Atlantique,Maison de l'emploi Bellevue,46 Boulevard Jean Moulin 44100 Nantes,02 51 80 41 51,https://www.me-metropole-nantaise.org/atelier_lieu/bellevue/,NR,https://www.me-metropole-nantaise.org/contact/,Découverte de l'ordinateur. Découverte d'internet. Boite mail.,InNum,NR,NR,NR,NR,NR,NR,NR,,
44100,44,Loire-Atlantique,Maison de l'emploi Dervallières,8 Rue Henri Matisse 44100 Nantes,02 28 03 58 00,https://www.me-metropole-nantaise.org/ou-nous-trouver/,NR,https://www.me-metropole-nantaise.org/contact/,NR,NR,,,NR,NR,NR,NR,NR,,
44100,44,Loire-Atlantique,Médiathèque Lisa Bresner,23 Boulevard Émile Romanet 44100 Nantes,02 40 41 54 00,https://bm.nantes.fr/home/pratique/adresses-et-horaires/mediatheque-lisa-bresner.html,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,
44100,44,Loire Atlantique,PiNG,38 rue du Breil,02 40 16 86 78,https://www.pingbase.net/,,info@pingbase.net,Approfondissement logicielsApprofondissement internetCulture numériqueCulture FabLab,ApIn-ApLo-CuNu-CuFa,Formations collectivesInitiationsAutonomie,FoCo-Au-In,  Gratuit    Payant,G-P-A,Enfants / JeunesAdultes / Familles,e-J-F-A,Oui,19/08/20,https://info.pingbase.net/wp-content/uploads/2018/12/LogoPiNGplus.png
44100,44,Loire-Atlantique,Regart's association,5 Rue du Gers 44100 Nantes,02 40 85 63 27,https://www.associationregartsnantes.org/,NR,NR,Cours d'informatique,InNum,NR,NR,NR,NR,NR,NR,NR,,
44110,44,Loire-Atlantique,ACIAH - Accessibilité Communication Information Accompagnement du Handicap,3 avenue de la Fraternité  44110 Châteaubriant et seize communes du territoire ,09 77 81 55 98 ,https://aciah-formations-informatiques-pour-tous.fr ,POIRAUD Bernadette ,equipe-advl@laposte.net, Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Démarches administratives en ligne Approfondissement logiciels Approfondissement internet,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn, Formations collectives Initiations Accompagnements collectifs Accompagnements individuels Autonomie,FoCo-In-AcCo-AcIn-Au,Gratuit Payant APTIC,G-P-A, Tous publics  Adultes / Familles Seniors,Tp-Af-S,Oui,23/12/2020,https://aciah-formations-informatiques-pour-tous.fr/IMG/siteon0.png 
44110,44,Loire-Atlantique,Bibliothèque de Soudan,Rue Julien Masson 44110 Soudan,02 40 07 74 51,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,80€ hors commune,P,NR,NR,NR,,
44110,44,Loire-Atlantique,Bibliothèque de Villepot,Rue de la Chapelle 44110 Villepot,02 40 28 10 39,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,
44110,44,Loire-Atlantique,Bibliotheque Louisfert,4 Rue de la République 44110 Louisfert,02 40 81 31 83,https://castelbriantais.e-sezhame.fr/node/content/nid/14403,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,,,NR,NR,NR,,
44110,44,Loire-Atlantique,Bibliothèque Noyal-sur-Brutz,5 Rue des Troènes 44110 Noyal-sur-Brutz,02 40 28 09 58,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,
44110,44,Loire-Atlantique,Blibliothèque Erbray,4 Rue du Rocher 44110 Erbray,02 40 28 35 32,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,
44110,44,Loire-Atlantique,Médiathèque Chateaubriant,6 Place Saint-Nicolas 44110 Châteaubriant,02 40 81 03 33,http://www.mairie-chateaubriant.fr/mediatheque-intercommunale/,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,6€ pour les résidents hors communauté de communes Carte pass plus :- Pour les résidents de communauté de communes (tarif réduit 12€ / tarif normal 18€)-Pour les résidents hors communautés de communes (tarif réduit 18€ / tarif normal 24€),CondP,NR,NR,NR,,
