conum_id,Code postal,departement,dep_nom,Nom de la structure,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo,lat,lon,result_label
conum_1_,44000,44,Loire-Atlantique,Bureau de la Poste Bourgneuf-en-Retz,16 Rue de la Tailée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,02 40 21 44 85 02 40 99 27 00 02 51 72 94 50 02 40 47 70 53 02 28 44 33 80 02 40 12 19 12 02 40 46 41 46 07 86 51 22 14 NR 02 51 80 41 51 02 28 03 58 00 02 40 41 54 00 02 40 16 86 78 02 40 85 63 27 09 77 81 55 98 02 40 07 74 51 02 40 28 10 39 02 40 81 31 83 02 40 28 09 58 02 40 28 35 32 02 40 81 03 33 39 46 02 51 10 62 64 02 40 77 13 26 02 51 12 10 94 02 49 62 39 70 02 51 12 10 94 02 40 34 43 00 02 40 02 94 56 02 40 87 12 58 02 40 79 99 01 02 40 87 33 65 02 40 26 11 62 02 40 83 31 95 NR 02 40 83 87 00 02 40 83 08 50 02 40 83 22 30 02 40 96 44 30 02 40 42 31 05 02 51 71 92 12,https://www.maisondeservicesaupublic.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR, 13/01/2021  13/01/2021 13/01/2021 23/02/2020  16/10/2020     19/08/20  23/12/2020            ,,47.042412,-1.954083,16 Rue de la Taillée 44580 Villeneuve-en-Retz
conum_2_,44000,44,Loire-Atlantique,CCAS,1 BIS Place Saint-Similien 44000 Nantes,3949,https://www.nantes.fr/ccas,NR,NR,Conseils sur les droits sociaux,Co,,,NR,NR,NR,NR,NR,44531,,47.220022,-1.558402,1 bis Place Saint Similien 44000 Nantes
conum_3_,44000,44,Loire-Atlantique,CRIJ-CIJ,37 Rue Saint-Léonard 44000 Nantes,02 28 03 90 89,http://www.infos-jeunes.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,,47.218567,-1.555306,37 Rue Saint Léonard 44000 Nantes
conum_4_,44000,44,Loire-Atlantique,Espace Multimedia Accoord Malakoff,1 Rue d'Angleterre 44000 Nantes,02 40 91 84 88,https://www.accoord.fr//nc_centre/maison-des-haubans-csc-malakoff/,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,16/10/2020,,47.21476,-1.526578,1 Rue d'Angleterre 44000 Nantes
conum_5_,44000,44,Loire-Atlantique,Maison de l'emploi Malakoff,5 rue d’Autriche 44000 Nantes,02 51 10 86 48,https://www.me-metropole-nantaise.org/ou-nous-trouver/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,,47.216088,-1.525378,5 Rue d'Autriche 44000 Nantes
conum_6_,44000,44,Loire-Atlantique,Mediagraph,1 Rue d'Auvours 44000 Nantes,02 40 01 06 08,www.assomediagraph.fr,Cécile THOMAS,cecilethomas@assomediagraph.fr,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internet,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn,Formations collectivesFormations individuelles Initiations Autonomie,FoCo-FoIn-In-Au,GratuitPayantAPTIC,G-P-A,Tous publics Adultes / Familles Seniors,Tp-Af-S,Oui,,https://www.assomediagraph.fr/wp-content/uploads/2020/03/logoA4-sans-transparent-1024x357.png,47.221374,-1.563522,1 Rue d'Auvours 44000 Nantes
conum_7_,44100,44,Loire-Atlantique,Centre socioculturel Bourderies,2 rue de Saint-Brevin 44100 Nantes,02 40 01 61 17,https://www.accoord.fr/nc_centre/csc-bourderies/,NR,NR,Espace multimédia,Em,NR,NR,NR,NR,NR,NR,NR,,,47.207064,-1.596413,2 Rue de Saint Brévin 44100 Nantes
conum_8_,44100,44,Loire-Atlantique,Dclic,19 Rue Auguste Renoir  44100 Nantes,02 40 61 76 35,https://www.dclic.org/,Thavie SOEUNG,contact@dclicpoleinfo.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Payant à coût solidaire,G,Tout public,Tp,Non,,https://files.slack.com/files-pri/T01C2232M4K-F01CNE1U1MJ/logo_dclic.png,47.223648,-1.595732,19 Rue Auguste Renoir 44100 Nantes
conum_9_,44100,44,Loire-Atlantique,La Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,08 10 25 44 10,http://mdc44800.canalblog.com/,NR,NR,Démarches administratives en ligneConseilsPrise en main du matériel,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,,47.204346,-1.604948,1 Place des Lauriers 44100 Nantes
conum_10_,44100,44,Loire-Atlantique,Maison de l'emploi Bellevue,46 Boulevard Jean Moulin 44100 Nantes,02 40 01 66 18,https://www.me-metropole-nantaise.org/atelier_lieu/bellevue/,NR,https://www.me-metropole-nantaise.org/contact/,Découverte de l'ordinateur. Découverte d'internet. Boite mail.,InNum,NR,NR,NR,NR,NR,NR,NR,,,47.205877,-1.601532,46 Boulevard Jean Moulin 44100 Nantes
